Tahun Registrasi,Provinsi,Kota/Kabupaten,Tipe Kendaraan,Brand,Model,Estimasi Harga (Rp),Jarak Tempuh (km),Penerima Subsidi
2025,Jawa Barat,Bogor,Motor Listrik (R2),Yadea,E8s Pro,21000000,123,Ya
2024,Jawa Timur,Malang,Motor Listrik (R2),Yadea,E8s Pro,19000000,93,Ya
2025,Jawa Barat,Depok,Motor Listrik (R2),Volta,Virgo,32000000,128,Ya
2021,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Yadea,E8s Pro,43000000,111,Ya
2023,Jawa Barat,Bogor,Mobil Listrik (R4),Wuling,Air EV,225000000,330,Ya
2024,Jawa Timur,Malang,Motor Listrik (R2),Polytron,Fox R,42000000,74,Ya
2023,DKI Jakarta,Jakarta Timur,Mobil Listrik (R4),Chery,Omoda E5,832000000,316,Tidak
2024,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,BinguoEV,342000000,319,Ya
2025,Jawa Barat,Bandung,Mobil Listrik (R4),Chery,Omoda E5,966000000,302,Tidak
2023,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Yadea,E8s Pro,39000000,103,Ya
2025,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Gesits,Raya,20000000,118,Ya
2024,Jawa Barat,Lainnya,Motor Listrik (R2),Polytron,Fox S,31000000,82,Ya
2023,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Polytron,Fox S,41000000,124,Ya
2024,Jawa Barat,Bekasi,Mobil Listrik (R4),Toyota,bZ4X,556000000,395,Tidak
2023,Jawa Barat,Bogor,Motor Listrik (R2),Selis,E-Max,34000000,101,Ya
2021,Banten,Tangerang Selatan,Motor Listrik (R2),Polytron,Fox R,44000000,106,Ya
2023,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Volta,401,22000000,70,Ya
2022,Jawa Barat,Bandung,Mobil Listrik (R4),Wuling,Air EV,377000000,324,Tidak
2024,Jawa Timur,Malang,Motor Listrik (R2),Honda,EM1 e:,19000000,120,Ya
2024,Jawa Barat,Lainnya,Motor Listrik (R2),Gesits,Raya,45000000,87,Ya
2024,DKI Jakarta,Jakarta Pusat,Mobil Listrik (R4),Wuling,Cloud EV,366000000,251,Ya
2023,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Alva,Cervo,29000000,126,Ya
2024,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Polytron,Fox R,22000000,68,Ya
2023,Banten,Tangerang,Motor Listrik (R2),Polytron,Fox R,33000000,88,Ya
2023,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Polytron,Fox R,22000000,68,Ya
2023,DKI Jakarta,Jakarta Utara,Mobil Listrik (R4),Chery,Omoda E5,738000000,318,Tidak
2023,Banten,Tangerang,Mobil Listrik (R4),Hyundai,Ioniq 5,842000000,474,Ya
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Selis,E-Max,38000000,120,Tidak
2025,Banten,Tangerang,Motor Listrik (R2),Honda,EM1 e:,40000000,112,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),BYD,Seal,449000000,568,Tidak
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Alva,Cervo,28000000,112,Ya
2025,Banten,Tangerang,Motor Listrik (R2),Honda,EM1 e:,36000000,72,Ya
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Alva,Cervo,40000000,73,Ya
2024,Banten,Tangerang,Motor Listrik (R2),Volta,401,32000000,117,Tidak
2023,DKI Jakarta,Jakarta Timur,Mobil Listrik (R4),Hyundai,Ioniq 6,793000000,421,Ya
2025,Banten,Tangerang,Motor Listrik (R2),Volta,401,29000000,130,Ya
2022,Jawa Barat,Bekasi,Motor Listrik (R2),Polytron,Fox R,17000000,90,Ya
2023,Sulawesi Selatan,Kota/Kabupaten Lain,Motor Listrik (R2),Alva,Cervo,30000000,87,Tidak
2024,Jawa Timur,Malang,Motor Listrik (R2),Honda,EM1 e:,43000000,67,Ya
2024,DKI Jakarta,Jakarta Pusat,Mobil Listrik (R4),Wuling,BinguoEV,190000000,299,Ya
2021,Banten,Lainnya,Motor Listrik (R2),Honda,EM1 e:,24000000,114,Ya
2025,Sumatera Utara,Kota/Kabupaten Lain,Mobil Listrik (R4),Hyundai,Kona Electric,1101000000,492,Ya
2021,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Yadea,E8s Pro,19000000,84,Ya
2025,Sumatera Utara,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,BinguoEV,245000000,214,Ya
2023,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Selis,E-Max,38000000,100,Ya
2024,Bali,Kota/Kabupaten Lain,Mobil Listrik (R4),Hyundai,Ioniq 5,725000000,499,Ya
2022,Banten,Tangerang,Bus/Komersil (EV),INKA,E-Inobus,3116000000,215,Tidak
2022,Jawa Barat,Bandung,Mobil Listrik (R4),BYD,Atto 3,435000000,552,Tidak
2024,Banten,Lainnya,Motor Listrik (R2),Yadea,T9,27000000,75,Ya
2023,Jawa Timur,Surabaya,Mobil Listrik (R4),Chery,Omoda E5,992000000,310,Tidak
2025,Jawa Barat,Bekasi,Motor Listrik (R2),Alva,Cervo,44000000,93,Tidak
2024,Banten,Tangerang Selatan,Mobil Listrik (R4),Chery,Omoda E5,644000000,367,Tidak
2023,Jawa Barat,Bogor,Motor Listrik (R2),Volta,Virgo,35000000,98,Ya
2021,Jawa Barat,Lainnya,Motor Listrik (R2),Gesits,G1,15000000,118,Ya
2023,Jawa Barat,Bekasi,Motor Listrik (R2),Selis,E-Max,17000000,128,Ya
2021,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Selis,Agats,19000000,104,Ya
2022,Jawa Barat,Depok,Mobil Listrik (R4),Wuling,Air EV,252000000,294,Tidak
2024,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Volta,Mandala,41000000,129,Ya
2024,Banten,Lainnya,Mobil Listrik (R4),Toyota,bZ4X,967000000,376,Tidak
2024,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),Wuling,Air EV,224000000,267,Ya
2024,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Polytron,Fox R,23000000,96,Ya
2025,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Hyundai,Ioniq 5,1067000000,437,Ya
2023,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Volta,Virgo,35000000,93,Ya
2024,Banten,Tangerang,Motor Listrik (R2),Alva,Cervo,43000000,66,Tidak
2024,Jawa Barat,Bandung,Motor Listrik (R2),Yadea,E8s Pro,41000000,95,Ya
2023,Jawa Barat,Bekasi,Mobil Listrik (R4),Wuling,Air EV,275000000,397,Ya
2022,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Yadea,E8s Pro,20000000,116,Ya
2025,Banten,Tangerang,Motor Listrik (R2),Yadea,E8s Pro,32000000,61,Ya
2024,Jawa Barat,Depok,Motor Listrik (R2),Polytron,Fox R,32000000,64,Ya
2023,Banten,Tangerang,Motor Listrik (R2),Selis,E-Max,28000000,76,Ya
2021,Jawa Barat,Depok,Motor Listrik (R2),Gesits,Raya,43000000,65,Ya
2025,Banten,Tangerang Selatan,Motor Listrik (R2),Volta,Virgo,22000000,73,Ya
2022,Banten,Tangerang,Motor Listrik (R2),Honda,EM1 e:,34000000,79,Ya
2025,Jawa Barat,Bogor,Motor Listrik (R2),Honda,EM1 e:,40000000,82,Ya
2024,Jawa Barat,Bogor,Mobil Listrik (R4),Hyundai,Ioniq 5,791000000,435,Ya
2025,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,23000000,80,Ya
2022,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Honda,EM1 e:,27000000,64,Ya
2022,Banten,Tangerang Selatan,Motor Listrik (R2),Volta,401,41000000,118,Ya
2025,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),Wuling,BinguoEV,400000000,258,Ya
2022,Banten,Tangerang Selatan,Motor Listrik (R2),Polytron,Fox R,27000000,102,Ya
2025,Jawa Timur,Sidoarjo,Mobil Listrik (R4),Wuling,Air EV,387000000,271,Ya
2023,Jawa Timur,Surabaya,Mobil Listrik (R4),Toyota,bZ4X,949000000,384,Tidak
2024,Jawa Barat,Lainnya,Mobil Listrik (R4),Wuling,Air EV,256000000,245,Ya
2025,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Gesits,G1,18000000,115,Ya
2025,Jawa Timur,Surabaya,Motor Listrik (R2),Gesits,Raya,28000000,125,Ya
2025,Jawa Barat,Depok,Mobil Listrik (R4),Wuling,BinguoEV,337000000,248,Ya
2025,Jawa Barat,Lainnya,Motor Listrik (R2),Polytron,Fox S,15000000,126,Ya
2025,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Yadea,T9,26000000,115,Ya
2025,Sumatera Utara,Kota/Kabupaten Lain,Motor Listrik (R2),Yadea,E8s Pro,34000000,100,Ya
2024,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Yadea,T9,38000000,98,Ya
2025,Jawa Timur,Sidoarjo,Mobil Listrik (R4),Wuling,BinguoEV,360000000,304,Ya
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Alva,Cervo,32000000,76,Ya
2025,Jawa Barat,Lainnya,Motor Listrik (R2),Alva,Cervo,36000000,82,Ya
2025,Banten,Tangerang,Motor Listrik (R2),Selis,Agats,27000000,130,Ya
2022,Banten,Lainnya,Motor Listrik (R2),Gesits,Raya,21000000,115,Ya
2025,Banten,Tangerang Selatan,Motor Listrik (R2),Selis,Agats,29000000,116,Ya
2022,DI Yogyakarta,Kota/Kabupaten Lain,Motor Listrik (R2),Yadea,T9,31000000,120,Ya
2025,Bali,Kota/Kabupaten Lain,Mobil Listrik (R4),BYD,Atto 3,737000000,421,Tidak
2023,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),Hyundai,Ioniq 6,963000000,435,Ya
2024,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,36000000,99,Ya
2021,Jawa Barat,Bandung,Motor Listrik (R2),Volta,401,19000000,63,Ya
2022,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Volta,Mandala,34000000,69,Tidak
2024,Sumatera Utara,Kota/Kabupaten Lain,Motor Listrik (R2),Alva,One,37000000,109,Ya
2025,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),Wuling,BinguoEV,292000000,262,Ya
2025,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),Hyundai,Kona Electric,1052000000,351,Ya
2025,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Honda,EM1 e:,22000000,82,Ya
2025,Jawa Barat,Bandung,Motor Listrik (R2),Alva,One,32000000,91,Ya
2024,Banten,Lainnya,Motor Listrik (R2),Alva,One,40000000,119,Tidak
2021,DKI Jakarta,Jakarta Timur,Mobil Listrik (R4),Chery,Omoda E5,853000000,429,Tidak
2024,Banten,Lainnya,Motor Listrik (R2),Honda,EM1 e:,43000000,80,Ya
2024,Jawa Barat,Bekasi,Motor Listrik (R2),Honda,EM1 e:,29000000,93,Ya
2022,Sulawesi Selatan,Kota/Kabupaten Lain,Mobil Listrik (R4),BYD,Dolphin,666000000,524,Tidak
2024,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),BYD,Atto 3,540000000,512,Tidak
2023,Bali,Kota/Kabupaten Lain,Mobil Listrik (R4),MG,MG ZS EV,640000000,369,Tidak
2024,Banten,Tangerang,Motor Listrik (R2),Gesits,Raya,43000000,129,Tidak
2025,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Volta,401,22000000,109,Ya
2023,Jawa Timur,Lainnya,Mobil Listrik (R4),Wuling,Cloud EV,244000000,216,Ya
2024,Jawa Barat,Bogor,Mobil Listrik (R4),Chery,Omoda E5,738000000,438,Tidak
2025,Jawa Barat,Bogor,Motor Listrik (R2),Alva,One,21000000,113,Ya
2023,DKI Jakarta,Jakarta Timur,Mobil Listrik (R4),Chery,Omoda E5,989000000,397,Tidak
2025,Lainnya,Kota/Kabupaten Lain,Motor Listrik (R2),Polytron,Fox S,24000000,109,Ya
2025,Bali,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,BinguoEV,327000000,391,Ya
2024,DKI Jakarta,Jakarta Timur,Mobil Listrik (R4),Hyundai,Kona Electric,979000000,406,Ya
2023,Banten,Tangerang,Motor Listrik (R2),Volta,Mandala,28000000,122,Ya
2023,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Alva,Cervo,36000000,111,Ya
2025,Jawa Barat,Lainnya,Mobil Listrik (R4),Hyundai,Ioniq 6,1170000000,382,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Selis,E-Max,44000000,110,Ya
2021,Jawa Timur,Malang,Motor Listrik (R2),Selis,E-Max,17000000,114,Ya
2024,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Honda,EM1 e:,20000000,66,Ya
2021,Jawa Barat,Depok,Motor Listrik (R2),Alva,Cervo,21000000,118,Ya
2023,Jawa Barat,Depok,Mobil Listrik (R4),Wuling,BinguoEV,384000000,297,Ya
2024,Jawa Timur,Lainnya,Motor Listrik (R2),Honda,EM1 e:,23000000,70,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,Air EV,381000000,338,Ya
2025,Jawa Barat,Bandung,Motor Listrik (R2),Polytron,Fox S,22000000,68,Ya
2024,DI Yogyakarta,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,45000000,91,Ya
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Volta,401,34000000,79,Ya
2022,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Volta,Mandala,36000000,74,Ya
2023,DKI Jakarta,Jakarta Pusat,Mobil Listrik (R4),Hyundai,Ioniq 5,938000000,415,Ya
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Volta,Virgo,34000000,74,Ya
2023,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Gesits,G1,33000000,63,Ya
2022,Jawa Barat,Bandung,Motor Listrik (R2),Selis,Agats,27000000,85,Ya
2023,Jawa Barat,Bekasi,Mobil Listrik (R4),Wuling,Cloud EV,366000000,360,Ya
2025,Banten,Lainnya,Motor Listrik (R2),Polytron,Fox S,42000000,75,Tidak
2025,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Honda,EM1 e:,26000000,128,Ya
2025,Jawa Timur,Sidoarjo,Motor Listrik (R2),Yadea,E8s Pro,17000000,124,Ya
2023,Jawa Barat,Bandung,Motor Listrik (R2),Polytron,Fox S,41000000,122,Ya
2023,Jawa Barat,Bogor,Mobil Listrik (R4),Wuling,BinguoEV,282000000,362,Ya
2023,Banten,Tangerang,Mobil Listrik (R4),Hyundai,Kona Electric,778000000,461,Ya
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Yadea,E8s Pro,34000000,128,Ya
2023,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Alva,Cervo,41000000,94,Ya
2023,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Honda,EM1 e:,41000000,71,Ya
2025,Jawa Barat,Lainnya,Motor Listrik (R2),Alva,One,39000000,119,Tidak
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Selis,Agats,25000000,63,Ya
2024,Jawa Timur,Malang,Motor Listrik (R2),Honda,EM1 e:,20000000,122,Ya
2022,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Gesits,Raya,25000000,95,Ya
2024,Jawa Barat,Lainnya,Motor Listrik (R2),Yadea,E8s Pro,32000000,61,Tidak
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Volta,401,22000000,112,Ya
2023,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Selis,E-Max,37000000,120,Ya
2023,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),Wuling,BinguoEV,392000000,204,Ya
2024,Jawa Barat,Bekasi,Mobil Listrik (R4),Wuling,BinguoEV,246000000,303,Ya
2023,Sumatera Utara,Kota/Kabupaten Lain,Mobil Listrik (R4),Chery,Omoda E5,995000000,394,Tidak
2023,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Alva,Cervo,28000000,130,Ya
2025,Jawa Barat,Depok,Motor Listrik (R2),Gesits,Raya,23000000,99,Ya
2023,Jawa Timur,Sidoarjo,Motor Listrik (R2),Volta,401,38000000,84,Ya
2024,Jawa Barat,Bogor,Motor Listrik (R2),Polytron,Fox R,21000000,87,Ya
2022,Banten,Tangerang Selatan,Motor Listrik (R2),Gesits,Raya,18000000,84,Ya
2024,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Volta,Mandala,20000000,98,Ya
2024,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Yadea,T9,23000000,65,Ya
2022,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),Wuling,Cloud EV,264000000,378,Tidak
2025,DKI Jakarta,Jakarta Utara,Mobil Listrik (R4),BYD,M6,452000000,403,Tidak
2024,Jawa Barat,Depok,Motor Listrik (R2),Gesits,Raya,30000000,116,Ya
2025,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,Air EV,203000000,264,Ya
2024,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,18000000,68,Ya
2022,Jawa Timur,Malang,Motor Listrik (R2),Alva,Cervo,17000000,66,Ya
2025,DKI Jakarta,Jakarta Pusat,Mobil Listrik (R4),Wuling,Air EV,397000000,344,Ya
2023,DKI Jakarta,Jakarta Utara,Mobil Listrik (R4),BYD,Seal,527000000,430,Tidak
2024,Jawa Barat,Lainnya,Mobil Listrik (R4),Hyundai,Ioniq 6,1010000000,407,Ya
2025,Jawa Barat,Depok,Motor Listrik (R2),Alva,Cervo,44000000,116,Ya
2023,Jawa Timur,Surabaya,Motor Listrik (R2),Honda,EM1 e:,24000000,67,Ya
2023,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,35000000,87,Ya
2025,Banten,Tangerang,Motor Listrik (R2),Gesits,G1,20000000,90,Ya
2025,Banten,Tangerang Selatan,Motor Listrik (R2),Selis,E-Max,20000000,60,Ya
2022,Jawa Timur,Malang,Motor Listrik (R2),Alva,Cervo,24000000,64,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,BinguoEV,370000000,272,Ya
2023,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),Wuling,Cloud EV,306000000,218,Ya
2024,Jawa Timur,Malang,Mobil Listrik (R4),Wuling,BinguoEV,391000000,360,Ya
2025,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),Wuling,BinguoEV,219000000,339,Ya
2023,Jawa Timur,Malang,Motor Listrik (R2),Yadea,T9,44000000,94,Ya
2024,Jawa Timur,Sidoarjo,Motor Listrik (R2),Polytron,Fox R,20000000,99,Ya
2024,Jawa Barat,Bogor,Motor Listrik (R2),Alva,One,29000000,98,Ya
2023,DKI Jakarta,Jakarta Timur,Mobil Listrik (R4),Hyundai,Ioniq 6,956000000,488,Ya
2024,Jawa Barat,Bandung,Mobil Listrik (R4),Wuling,BinguoEV,210000000,353,Ya
2024,Jawa Barat,Bandung,Motor Listrik (R2),Alva,Cervo,34000000,92,Ya
2025,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Polytron,Fox R,45000000,62,Ya
2025,Banten,Tangerang,Motor Listrik (R2),Honda,EM1 e:,33000000,65,Ya
2024,Jawa Barat,Depok,Mobil Listrik (R4),MG,MG ZS EV,931000000,413,Tidak
2025,Jawa Barat,Bandung,Motor Listrik (R2),Volta,Virgo,28000000,122,Ya
2025,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Alva,Cervo,28000000,102,Ya
2025,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Gesits,G1,42000000,80,Ya
2023,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Gesits,Raya,37000000,123,Tidak
2020,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Yadea,E8s Pro,41000000,130,Ya
2025,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Alva,One,25000000,92,Ya
2024,Jawa Barat,Bandung,Motor Listrik (R2),Polytron,Fox S,42000000,125,Ya
2022,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Yadea,E8s Pro,28000000,66,Ya
2024,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Selis,Agats,34000000,123,Ya
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Yadea,E8s Pro,39000000,66,Ya
2025,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Gesits,G1,44000000,96,Ya
2025,Jawa Barat,Lainnya,Motor Listrik (R2),Yadea,E8s Pro,18000000,63,Ya
2022,Jawa Timur,Sidoarjo,Motor Listrik (R2),Honda,EM1 e:,37000000,80,Tidak
2023,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Selis,E-Max,32000000,112,Ya
2024,DKI Jakarta,Jakarta Timur,Mobil Listrik (R4),Hyundai,Ioniq 5,1130000000,379,Ya
2024,Jawa Barat,Lainnya,Motor Listrik (R2),Polytron,Fox R,30000000,97,Ya
2023,DKI Jakarta,Jakarta Timur,Mobil Listrik (R4),MG,MG ZS EV,825000000,423,Tidak
2023,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Volta,Mandala,32000000,78,Ya
2021,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),BYD,Atto 3,706000000,530,Tidak
2021,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Honda,EM1 e:,23000000,113,Ya
2024,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Honda,EM1 e:,41000000,60,Tidak
2023,Banten,Tangerang,Motor Listrik (R2),Yadea,E8s Pro,41000000,122,Ya
2023,Jawa Timur,Sidoarjo,Mobil Listrik (R4),Chery,Omoda E5,951000000,423,Tidak
2023,Banten,Tangerang,Motor Listrik (R2),Gesits,Raya,29000000,101,Ya
2023,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Yadea,T9,33000000,109,Ya
2023,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Volta,Mandala,16000000,100,Ya
2024,Jawa Barat,Bogor,Mobil Listrik (R4),Chery,Omoda E5,795000000,338,Tidak
2023,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Polytron,Fox R,31000000,102,Ya
2023,Banten,Tangerang Selatan,Motor Listrik (R2),Honda,EM1 e:,18000000,127,Ya
2024,Jawa Barat,Bandung,Motor Listrik (R2),Polytron,Fox R,28000000,79,Ya
2025,Jawa Timur,Surabaya,Motor Listrik (R2),Alva,Cervo,25000000,110,Ya
2025,Jawa Barat,Bogor,Mobil Listrik (R4),BYD,Dolphin,745000000,536,Tidak
2024,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Gesits,Raya,42000000,129,Ya
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Selis,E-Max,22000000,96,Ya
2025,DI Yogyakarta,Kota/Kabupaten Lain,Motor Listrik (R2),Yadea,T9,28000000,72,Ya
2023,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Honda,EM1 e:,29000000,81,Ya
2025,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Polytron,Fox R,25000000,67,Ya
2023,Jawa Barat,Bekasi,Motor Listrik (R2),Gesits,Raya,28000000,78,Ya
2025,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Selis,Agats,33000000,83,Ya
2025,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Volta,401,34000000,108,Ya
2024,DKI Jakarta,Jakarta Timur,Mobil Listrik (R4),Hyundai,Kona Electric,1049000000,411,Ya
2023,Jawa Barat,Depok,Motor Listrik (R2),Selis,E-Max,22000000,119,Ya
2023,Jawa Timur,Lainnya,Motor Listrik (R2),Alva,Cervo,36000000,61,Ya
2023,Jawa Barat,Depok,Motor Listrik (R2),Gesits,G1,17000000,116,Ya
2023,Banten,Lainnya,Motor Listrik (R2),Selis,Agats,35000000,114,Ya
2024,Banten,Tangerang,Mobil Listrik (R4),BYD,Dolphin,633000000,477,Tidak
2023,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Alva,Cervo,18000000,90,Ya
2024,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Selis,Agats,33000000,97,Ya
2023,Jawa Timur,Surabaya,Motor Listrik (R2),Polytron,Fox S,23000000,61,Ya
2022,Jawa Timur,Malang,Motor Listrik (R2),Selis,Agats,41000000,96,Ya
2024,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),BYD,Dolphin,512000000,562,Tidak
2024,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Selis,Agats,36000000,77,Ya
2022,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Yadea,T9,24000000,116,Ya
